Date,US_GDP_QoQ_Ann,PCE_Prices
2000-02-01,0.014511736349055226,0.025687379130580945
2000-03-01,0.014511736349055226,0.02930879964151667
2000-04-01,0.07285151252541056,0.023509901473026895
2000-05-01,0.07285151252541056,0.023689488050804952
2000-06-01,0.07285151252541056,0.026842647509258688
2000-07-01,0.004077303454243619,0.02668814307732892
2000-08-01,0.004077303454243619,0.024754670954149738
2000-09-01,0.004077303454243619,0.025480961785462775
2000-10-01,0.02388155171126627,0.025148561265149194
2000-11-01,0.02388155171126627,0.025663277956855968
2000-12-01,0.02388155171126627,0.024847793521432404
2001-01-01,-0.013111952305606689,0.027014432367977514
2001-02-01,-0.013111952305606689,0.02537197196376595
2001-03-01,-0.013111952305606689,0.021087000884293827
2001-04-01,0.02498011720975324,0.02373236751810892
2001-05-01,0.02498011720975324,0.025576491395143286
2001-06-01,0.02498011720975324,0.023917346855763633
2001-07-01,-0.016025567812762986,0.021017325092305805
2001-08-01,-0.016025567812762986,0.020964644142072553
2001-09-01,-0.016025567812762986,0.013130959435436296
2001-10-01,0.010991017914363077,0.01531881699460702
2001-11-01,0.010991017914363077,0.013215681534308521
2001-12-01,0.010991017914363077,0.010620750693969505
2002-01-01,0.033454346257296486,0.006659371163187933
2002-02-01,0.033454346257296486,0.00679565078349853
2002-03-01,0.033454346257296486,0.009433082406235416
2002-04-01,0.024508263360232263,0.011877053213986466
2002-05-01,0.024508263360232263,0.009882602639782245
2002-06-01,0.024508263360232263,0.009362006409068035
2002-07-01,0.01626045720140379,0.011921635118487872
2002-08-01,0.01626045720140379,0.01402946319749887
2002-09-01,0.01626045720140379,0.019328166748640685
2002-10-01,0.004944202102078243,0.017604514385630265
2002-11-01,0.004944202102078243,0.019299850214074654
2002-12-01,0.004944202102078243,0.0213367302257077
2003-01-01,0.021065679432202167,0.023465153584070197
2003-02-01,0.021065679432202167,0.026046216151830226
2003-03-01,0.021065679432202167,0.025896545807320148
2003-04-01,0.0354248669148598,0.019886961093585676
2003-05-01,0.0354248669148598,0.018048075660055396
2003-06-01,0.0354248669148598,0.01788127254837657
2003-07-01,0.06652799827884248,0.018627361145654664
2003-08-01,0.06652799827884248,0.020067151797029004
2003-09-01,0.06652799827884248,0.02141338793182146
2003-10-01,0.04642885592705248,0.019682118170812668
2003-11-01,0.04642885592705248,0.01996176703902619
2003-12-01,0.04642885592705248,0.02122877447350291
2004-01-01,0.02266605815827738,0.02212406575044379
2004-02-01,0.02266605815827738,0.02000619147124838
2004-03-01,0.02266605815827738,0.018964297201672586
2004-04-01,0.030998092949684697,0.022592244145734686
2004-05-01,0.030998092949684697,0.02709537572254317
2004-06-01,0.030998092949684697,0.02890910965613247
2004-07-01,0.03794375555172369,0.02684537884239746
2004-08-01,0.03794375555172369,0.02391167919671111
2004-09-01,0.03794375555172369,0.022739169847937557
2004-10-01,0.04080832514483834,0.02700011489410592
2004-11-01,0.04080832514483834,0.029656262749897966
2004-12-01,0.04080832514483834,0.027937154125055708
2005-01-01,0.04437453416783299,0.0253203056685547
2005-02-01,0.04437453416783299,0.02598732880610055
2005-03-01,0.04437453416783299,0.02747509438250484
2005-04-01,0.019704978192429223,0.02844503818718014
2005-05-01,0.019704978192429223,0.025689663835988252
2005-06-01,0.019704978192429223,0.023411957760769653
2005-07-01,0.03135256138029163,0.02679431825292533
2005-08-01,0.03135256138029163,0.030408025417156592
2005-09-01,0.03135256138029163,0.03830020972735437
2005-10-01,0.02222066158606939,0.03551362370723954
2005-11-01,0.02222066158606939,0.02938408578716656
2005-12-01,0.02222066158606939,0.028836276778752667
2006-01-01,0.053815350739498946,0.03246937842213904
2006-02-01,0.053815350739498946,0.030222353695212645
2006-03-01,0.053815350739498946,0.029136712749615823
2006-04-01,0.0103501105398216,0.03102827101944805
2006-05-01,0.0103501105398216,0.03321534862643749
2006-06-01,0.0103501105398216,0.03511627906976744
2006-07-01,0.005998237025262476,0.034273456353752785
